District,Winning_Perc,Runner_Perc,MOV
1,0.969019334,0.030980666,0.938038668
2,0.502772277,0.493168317,0.00960396
3,0.557828899,0.43676455,0.121064349
4,0.885376393,0.098931089,0.786445304
5,0.988464663,0.011535337,0.976929326
6,0.975472193,0.024527807,0.950944386
7,0.843487395,0.139880952,0.703606443
8,0.974756581,0.025243419,0.949513163
9,0.974756581,0.025243419,0.949513163
